,Algorithm,Train R2 score,Test R2 Score,Train MSE,Test MSE,Comments
0,RandomForest: bench mark,0.9905494448759586,0.9322067718205513,0.17653930008344196,0.4739077363397034,Trained on PCA dataset
1,RandomForestRegressor: Top 10,0.990014629945052,0.9293909339188394,0.18146581467210393,0.4836496465724773,Trained on top 10 features; extracted from random forest
2,XGBRegressor,0.9565094326751161,0.9252840214094074,0.3787130556223173,0.4975163820266425,Trained on PCA dataset
3,XGBRegressor: Top 10,0.9394030928671782,0.9163149817649782,0.4470313384733453,0.5265316703148832,XGBoost Trained on top 10 features; extracted from random forest
4,AdaBoostRegressor,0.7526616674455536,0.7508760087083606,0.9031470234287254,0.9084654552171509,Trained on PCA dataset
5,AdaBoostRegressor: Top 10,0.7996061340703311,0.7996682814260334,0.8129333722371799,0.8146583241065508,AdaBoost Trained on top 10 features; extracted from random forest
6,Grid: Ada Boost,0.9998812094115259,0.9328191009498839,0.01979264145668433,0.4717626419031121,Using Grid search cv
7,Grid: Xgboost,0.9504493990623508,0.9185945975637091,0.4042380623759653,0.5193106807749848,Using Grid search cv base estimator xgboost
