video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
tFM-GNSeXzw,False,False,False,4.74493212836325,11.35548772199872,4.5217885770490405,2.6390573296152584,28,534,54,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
MF9ovM9y0PE,False,False,False,8.969796305981806,12.42690953855246,4.23410650459726,5.899897353582492,21,394,86,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EJVvdjDGnak,False,False,False,5.765191102784844,12.45371366844477,4.820281565605037,3.58351893845611,20,1570,100,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ukjn7A9L7vY,False,False,False,8.27563105457801,11.830935461289402,5.521460917862246,4.882801922586371,8,804,47,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
gW4Su5wq0b8,False,False,False,7.586803535162581,12.473053161770215,4.844187086458591,5.308267697401205,22,292,42,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
vMLs3kIuhzA,False,False,False,9.04852707581358,13.39339916606279,6.767343125265392,7.216709486709457,15,380,73,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P-pycrmifwU,False,False,False,7.323170717943469,12.955151098410916,5.8522024797744745,4.77912349311153,7,829,100,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
jElRtesCnlA,False,True,False,0.0,10.420315128497752,0.0,2.3978952727983707,14,219,53,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
q3eBCWAwVpo,False,False,False,5.081404364984463,11.236315206485497,2.772588722239781,2.302585092994046,13,536,87,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1OTwWFJY_0I,False,False,False,8.595449689382004,11.95802145850978,6.282266746896006,6.954638864880987,22,1723,96,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
01TgqDvqcyk,False,False,False,10.8627419838424,14.068424151343248,5.537334267018537,8.046549357283078,21,739,79,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
pbFr2Vb5hK0,False,False,False,5.501258210544727,10.940773931876524,4.553876891600541,3.784189633918261,24,693,87,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
JSkOecmAFFo,False,False,False,9.996841274269336,13.584560363954706,7.372118028337787,7.415776975415394,35,1262,49,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Yvp9jUJtMuY,False,False,False,7.353081920515432,12.642684291524043,5.303304908059076,4.691347882229144,33,223,94,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7yTWI873yfg,False,False,False,7.176254532017144,12.721231865688411,5.442417710521793,6.61338421837956,12,66,60,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
q0-SCcsuSSs,False,True,False,0.0,10.083013538694615,0.0,2.079441541679836,18,869,100,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
l3fRny54z4U,False,False,False,5.513428746164983,10.912576220261636,3.044522437723423,2.3978952727983707,28,110,58,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
WXN8BzAsi3A,False,False,False,9.908276069267924,13.976228767137936,7.831220214604293,7.719129840906732,16,547,41,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E_e3nSdBiqE,False,False,False,8.209852481301272,11.756012810086746,5.945420608606575,7.682482446534506,14,1158,98,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
yPOnlqGGGGU,False,False,False,7.726653664847642,12.45179144745392,4.804021044733257,5.82600010738045,21,631,74,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
MXH7yFFl3fE,False,False,False,6.732210706467206,11.487843526602411,5.247024072160486,3.912023005428146,24,595,89,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
UTVFNrRwL1o,False,False,False,7.833600223661103,13.447861330540334,6.428105272684596,5.272999558563747,7,526,91,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
hDUel4MX-Fw,False,False,False,7.714677473800927,10.765385454579738,3.4657359027997265,6.298949246855942,72,1751,89,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
K6JyjjNnTlg,False,False,False,7.365812837209472,11.648041850829074,5.099866427824199,5.545177444479562,16,330,94,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TuOBfQRXwhQ,False,False,False,6.673297967767654,11.604547032017452,5.247024072160486,4.983606621708336,10,436,97,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
